State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,10:00,11/9/2018,18:00,66,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,11:00,11/9/2018,19:00,92,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,12:00,11/9/2018,20:00,104,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,13:00,11/9/2018,21:00,72,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,14:00,11/9/2018,22:00,53,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,15:00,11/9/2018,23:00,62,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,16:00,11/10/2018,0:00,39,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,17:00,11/10/2018,1:00,60,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,18:00,11/10/2018,2:00,35,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,19:00,11/10/2018,3:00,97,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,20:00,11/10/2018,4:00,130,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,21:00,11/10/2018,5:00,127,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,22:00,11/10/2018,6:00,130,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,23:00,11/10/2018,7:00,145,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,13,88101,3,37.864767,-122.302741,NAD83,PM2.5 - Local Conditions,11/9/2018,0:00,11/9/2018,8:00,50,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
